term,coef,stderr,t_stat,n,r2,strategy
const,0.007034436016061781,0.006325128695874301,1.1121411680761755,177,0.05907392808957879,MAX
MKT,-0.060397292599672345,0.15083651747301202,-0.40041558643435765,177,0.05907392808957879,MAX
SMB,0.4107371960766987,0.2777531555526277,1.4787849853928072,177,0.05907392808957879,MAX
HML,-0.06687443855066515,0.26358372331884183,-0.2537123222505323,177,0.05907392808957879,MAX
RMW,0.755222998582601,0.3429422504051709,2.2021870961957557,177,0.05907392808957879,MAX
CMA,0.6234073103534788,0.3963020105690733,1.5730611849742868,177,0.05907392808957879,MAX
const,0.007890892585478527,0.004727247683046305,1.669236121005093,177,0.06111467135106219,MAX_BETA
MKT,-0.05853797464303924,0.1127315525149972,-0.5192687702518038,177,0.06111467135106219,MAX_BETA
SMB,0.46697179325577565,0.20758596768179535,2.24953448670282,177,0.06111467135106219,MAX_BETA
HML,0.0019302921400320373,0.19699607790754672,0.009798632340984742,177,0.06111467135106219,MAX_BETA
RMW,0.64932999392469,0.25630671510351627,2.5334099953738662,177,0.06111467135106219,MAX_BETA
CMA,0.19834013023382324,0.2961865048645129,0.6696460742684803,177,0.06111467135106219,MAX_BETA
